Recorded date;Event date;Event name;Movie ID;Movie title;Scene ID;Scene title;Visitor;Session ID;Additional information
2025-03-29 10:36:37;2025-03-29 10:36:37;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-29_10:36:37_537603e14e06;[]
2025-03-29 10:36:42;2025-03-29 10:36:42;quiz start;megadrivequiz;MegaDrive Quiz;1e8f64b12d5f4a6ef2c71d427a9c8f28;Menu;;2025-03-29_10:36:37_537603e14e06;[]
2025-03-29 10:37:12;2025-03-29 10:37:12;final score;megadrivequiz;MegaDrive Quiz;1440048b6c54d9874b1fee2f9e82ea25;Final Score;;2025-03-29_10:36:37_537603e14e06;["#score"]
2025-03-29 13:36:06;2025-03-29 13:36:06;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-29_13:36:06_e3b5182040a0;[]
2025-03-30 16:57:43;2025-03-30 16:57:43;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-30_16:57:43_e2adea7992bf;[]
2025-03-30 16:57:54;2025-03-30 16:57:54;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-30_16:57:54_60f4f85fc106;[]
2025-03-30 17:07:42;2025-03-30 17:07:42;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-30_17:07:42_c4a020607c99;[]
2025-03-31 21:37:18;2025-03-31 21:37:18;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-31_21:37:18_f616d7c87007;[]
2025-03-31 21:37:25;2025-03-31 21:37:25;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-03-31_21:37:25_85d68d0c8cb5;[]
2025-03-31 21:37:28;2025-03-31 21:37:28;quiz start;megadrivequiz;MegaDrive Quiz;1e8f64b12d5f4a6ef2c71d427a9c8f28;Menu;;2025-03-31_21:37:25_85d68d0c8cb5;[]
2025-03-31 21:38:35;2025-03-31 21:38:35;final score;megadrivequiz;MegaDrive Quiz;1440048b6c54d9874b1fee2f9e82ea25;Final Score;;2025-03-31_21:37:25_85d68d0c8cb5;[6]
2025-04-01 19:41:32;2025-04-01 19:41:32;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-04-01_19:41:32_50da0ed49c84;[]
2025-04-01 19:42:22;2025-04-01 19:42:22;quiz start;megadrivequiz;MegaDrive Quiz;1e8f64b12d5f4a6ef2c71d427a9c8f28;Menu;;2025-04-01_19:41:32_50da0ed49c84;[]
2025-04-01 19:45:42;2025-04-01 19:45:42;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-04-01_19:45:42_78eb5e2257c0;[]
2025-04-01 20:04:40;2025-04-01 20:04:39;quiz start;megadrivequiz;MegaDrive Quiz;1e8f64b12d5f4a6ef2c71d427a9c8f28;Menu;;2025-04-01_19:45:42_78eb5e2257c0;[]
2025-04-20 10:37:59;2025-04-20 10:37:59;avaliacao mmgv;avaliacao;Avaliação MMGV;e845aa1a93b9cf51872ddd7f4634d099;Inicial;;2025-04-20_10:37:57_83877ba919db;["inicio"]
2025-04-20 10:38:43;2025-04-20 10:38:43;avaliacao mmgv;avaliacao;Avaliação MMGV;9bc614717c6cbef5f61b937f23705477;Final;;2025-04-20_10:37:57_83877ba919db;["3",""]
2025-04-29 15:11:13;2025-04-29 15:11:13;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-04-29_15:10:52_e2dc42baaf6f;[]
2025-05-01 15:02:41;2025-05-01 15:02:41;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-05-01_15:01:51_aa4d90b615ee;[]
2025-05-02 09:29:01;2025-05-02 09:29:01;quiz access;megadrivequiz;MegaDrive Quiz;;;;2025-05-02_09:28:52_ec510f47d2b7;[]
2025-08-21 10:01:02;2025-08-21 10:01:02;quiz access;megadrivequiz;MegaDrive Quiz;3281189372920743da2ea7d80cd864f8;Splash;;2025-08-21_10:01:02_885f2974b27b;[]
2025-08-21 10:01:05;2025-08-21 10:01:05;quiz start;megadrivequiz;MegaDrive Quiz;1e8f64b12d5f4a6ef2c71d427a9c8f28;Menu;;2025-08-21_10:01:02_885f2974b27b;[]
2025-08-21 10:25:17;2025-08-21 10:25:17;quiz access;megadrivequiz;MegaDrive Quiz;3281189372920743da2ea7d80cd864f8;Splash;;2025-08-21_10:25:17_b796469b99e3;[]
